,func,k,numPI,time_PI,ks,time_sym,time_ks,time_cov
157,01,1,1,4.696846008300781e-05,0.0,0.0003497600555419922,2.8133392333984375e-05,4.38690185546875e-05
158,01,1,1,2.6464462280273438e-05,0.0,0.00031495094299316406,6.9141387939453125e-06,2.3126602172851562e-05
159,01,1,1,2.4080276489257812e-05,0.0,0.0003814697265625,6.198883056640625e-06,1.9311904907226562e-05
160,00000001,3,3,4.267692565917969e-05,2.625,0.0006365776062011719,7.3909759521484375e-06,0.0007965564727783203
161,0011111101111111,4,3,0.00010418891906738281,1.6875,0.0007679462432861328,3.0517578125e-05,0.0007321834564208984
162,0000000000000000000000000001000100000000000000000000000000010101,6,5,0.0010428428649902344,2.5546875,0.002951383590698242,5.1975250244140625e-05,0.012182474136352539
163,01,1,1,2.0265579223632812e-05,0.0,0.0001659393310546875,4.5299530029296875e-06,1.4543533325195312e-05
164,01,1,1,1.4781951904296875e-05,0.0,0.00018262863159179688,3.814697265625e-06,1.3589859008789062e-05
165,0010,2,2,2.5987625122070312e-05,0.0,0.00017023086547851562,5.245208740234375e-06,2.0265579223632812e-05
166,0111111100000000,4,3,0.00011587142944335938,1.3125,0.0006625652313232422,1.0728836059570312e-05,0.0008485317230224609
167,0001,2,2,2.2411346435546875e-05,1.5,0.0004093647003173828,2.3603439331054688e-05,0.00018024444580078125
168,00010011,3,2,5.888938903808594e-05,0.75,0.0004725456237792969,2.5987625122070312e-05,0.0001957416534423828
169,0000110001011101,4,4,9.632110595703125e-05,1.125,0.0009515285491943359,3.075599670410156e-05,0.0008549690246582031
170,00000100,3,3,0.00011801719665527344,1.125,0.0010027885437011719,4.291534423828125e-05,0.0007739067077636719
171,01,1,1,2.8133392333984375e-05,0.0,0.0003211498260498047,6.67572021484375e-06,2.2172927856445312e-05
172,01,1,1,2.2649765014648438e-05,0.0,0.00028777122497558594,5.9604644775390625e-06,1.9788742065429688e-05
173,00000010,3,3,8.440017700195312e-05,1.125,0.0008711814880371094,1.71661376953125e-05,0.0007617473602294922
