,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
79,B bronchiseptica and T retortaeformis coinfection,TrII,00000001,3,0.125,3,7.62939453125e-05,2.625,0.00022411346435546875,2.5510787963867188e-05,0.0011096000671386719,1.25,"[[['022', [[0, 1, 2]], []]], [['111', [], []]]]",True,False,0.875,0.4166666666666667,cc,new
80,B bronchiseptica and T retortaeformis coinfection,Th1II_TRetortaeformis,00000001,3,0.125,3,7.462501525878906e-05,2.625,0.00022292137145996094,2.574920654296875e-05,0.00109100341796875,1.25,"[[['022', [[0, 1, 2]], []]], [['111', [], []]]]",True,False,0.875,0.4166666666666667,cc,new
81,B bronchiseptica and T retortaeformis coinfection,DCII_Bacterium,01,1,0.5,1,1.4781951904296875e-05,0.0,0.0001888275146484375,2.2172927856445312e-05,3.0994415283203125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
82,B bronchiseptica and T retortaeformis coinfection,DP,0001,2,0.25,2,4.506111145019531e-05,1.5,0.00024890899658203125,6.9141387939453125e-06,0.00023889541625976562,1.25,"[[['02', [[0, 1]], []]], [['11', [], []]]]",True,False,0.75,0.625,cc,new
83,B bronchiseptica and T retortaeformis coinfection,IgA_TRetortaeformis,0001,2,0.25,2,3.0040740966796875e-05,1.5,0.0001761913299560547,6.198883056640625e-06,0.00020241737365722656,1.25,"[[['02', [[0, 1]], []]], [['11', [], []]]]",True,False,0.75,0.625,cc,new
84,B bronchiseptica and T retortaeformis coinfection,DCI_Bacterium,00000111,3,0.375,2,5.984306335449219e-05,0.75,0.00018024444580078125,7.3909759521484375e-06,0.00026106834411621094,1.5625,"[[['022', [], []], ['200', [], []]], [['112', [[1, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
85,B bronchiseptica and T retortaeformis coinfection,EC_TRetortaeformis,0111,2,0.75,2,2.6226043701171875e-05,1.5,0.0001628398895263672,6.198883056640625e-06,0.00022602081298828125,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,0.75,0.625,cc,new
86,B bronchiseptica and T retortaeformis coinfection,Bb,0010,2,0.25,2,2.5272369384765625e-05,0.0,0.00014662742614746094,5.0067901611328125e-06,2.0742416381835938e-05,1.25,"[[['21', [], []], ['02', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
87,B bronchiseptica and T retortaeformis coinfection,IgG,01,1,0.5,1,1.4066696166992188e-05,0.0,0.0001399517059326172,3.814697265625e-06,1.2874603271484375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
88,B bronchiseptica and T retortaeformis coinfection,IL4I,01,1,0.5,1,1.4781951904296875e-05,0.0,0.00015974044799804688,4.291534423828125e-06,3.1948089599609375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
89,B bronchiseptica and T retortaeformis coinfection,IL5,0111,2,0.75,2,3.4332275390625e-05,1.5,0.00018739700317382812,6.4373016357421875e-06,0.0002193450927734375,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,0.75,0.625,cc,new
90,B bronchiseptica and T retortaeformis coinfection,EC_Bacterium,01,1,0.5,1,3.647804260253906e-05,0.0,0.0001461505889892578,4.0531158447265625e-06,1.3828277587890625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
91,B bronchiseptica and T retortaeformis coinfection,TrI_Bacterium,01,1,0.5,1,1.3828277587890625e-05,0.0,0.0001392364501953125,2.1457672119140625e-05,1.239776611328125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
92,B bronchiseptica and T retortaeformis coinfection,TTSSI,00100000,3,0.125,3,7.748603820800781e-05,1.125,0.00021409988403320312,2.7179718017578125e-05,0.0004684925079345703,1.25,"[[['202', [], []], ['122', [[0, 2]], []]], [['010', [], []]]]",True,False,0.375,0.4166666666666667,cc,new
93,B bronchiseptica and T retortaeformis coinfection,EL,0100,2,0.25,2,5.8650970458984375e-05,0.0,0.00019788742065429688,2.3365020751953125e-05,5.841255187988281e-05,1.25,"[[['20', [], []], ['12', [], []]], [['01', [], []]]]",True,False,0.0,0.625,cc,new
94,B bronchiseptica and T retortaeformis coinfection,IgE,00010011,3,0.375,2,7.343292236328125e-05,0.75,0.0002110004425048828,2.574920654296875e-05,0.00027060508728027344,1.5625,"[[['020', [], []], ['202', [], []]], [['112', [[0, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
95,B bronchiseptica and T retortaeformis coinfection,Th2I_TRetortaeformis,01,1,0.5,1,1.4543533325195312e-05,0.0,0.0001609325408935547,2.2411346435546875e-05,3.123283386230469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
96,B bronchiseptica and T retortaeformis coinfection,IgG_Bacterium,0111,2,0.75,2,3.266334533691406e-05,1.5,0.00018906593322753906,6.67572021484375e-06,0.00021982192993164062,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,0.75,0.625,cc,new
97,B bronchiseptica and T retortaeformis coinfection,Th1I_Bacterium,01,1,0.5,1,1.9311904907226562e-05,0.0,0.00019049644470214844,2.1219253540039062e-05,3.123283386230469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
98,B bronchiseptica and T retortaeformis coinfection,EL2,00000111,3,0.375,2,7.700920104980469e-05,0.75,0.0002002716064453125,7.3909759521484375e-06,0.0002434253692626953,1.5625,"[[['022', [], []], ['200', [], []]], [['112', [[1, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
99,B bronchiseptica and T retortaeformis coinfection,DCII_TRetortaeformis,01,1,0.5,1,1.52587890625e-05,0.0,0.00018072128295898438,4.0531158447265625e-06,1.2874603271484375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
